0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.,The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.,The density of the hydrogen gas is less than the nitrogen gas.,The pressures of the gases cannot be compared without knowing the number of molecules in each container.,D,False,0.4222142994403839,0.2901833653450012,0.15532398223876953,0.10675249248743057
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",Move the boy to half his original distance from the fulcrum.,Move the girl to double her original distance from the fulcrum.,Allow a second girl of mass m to join the first.,Move the fulcrum to half its original distance from the boy.,D,True,0.1605719029903412,0.2647382915019989,0.20617839694023132,0.3399307131767273
"When hot water is poured into a beaker containing cold alcohol, the temperature of the mixture will eventually reach the same temperature. Considering the scale of the size of the molecules of the fluids, which of the following is the primary reason for this phenomenon?",The high temperature water will rise to the top of the container until it has cooled and then mixes with the alcohol.,"The molecules of the water continue to have a higher kinetic energy than the molecules of the alcohol, but the two liquids mix until the energy is spread evenly throughout the container.",The hot water produces thermal radiation that is absorbed by the cold alcohol until the kinetic energy of all the molecules is the same.,"The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same.",D,False,0.3195319175720215,0.3195319175720215,0.1332007199525833,0.17103311419487
"A solid sphere (I = 0.06 kg·m^2) spins freely around an axis through its center at an angular speed of 20 rad/s. It is desired to bring the sphere to rest by applying a friction force of magnitude 2.0 N to the sphere’s outer surface, a distance of 0.30 m from the sphere’s center. How much time will it take the sphere to come to rest?",4 s,2 s,0.06 s,0.03 s,B,True,0.18056242167949677,0.3373349905014038,0.12409862875938416,0.3373349905014038
The radius of Mars is about half that of Earth; the mass of Mars is about one-tenth that of Earth. Which of the following is closest to the gravitational field at the surface of Mars?,10 N/kg,4 N/kg,2 N/kg,0.5 N/kg,B,False,0.3163953125476837,0.3163953125476837,0.13189318776130676,0.21745511889457703
"Above an infinitely large plane carrying charge density σ, the electric field points up and is equal to σ/2εo. What is the magnitude and direction of the electric field below the plane?","σ/2εo, down","σ/2εo, up","σ/εo, down","σ/εo, up",A,False,0.10430088639259338,0.22080498933792114,0.25020483136177063,0.4125179946422577
"A beam of electrons has speed 10^7 m/s. It is desired to use the magnetic field of the Earth, 5 × 10−5 T, to bend the electron beam into a circle. What will be the radius of this circle?",1 nm,1 μm,1 mm,1 m,D,True,0.1343531310558319,0.3222963511943817,0.17251281440258026,0.3652096390724182
An object is placed 100 cm from a plane mirror. How far is the image from the object?,50 cm,100 cm,200 cm,300 cm,C,False,0.10276805609464645,0.16943588852882385,0.1919960379600525,0.5218992829322815
"A horse is attached to a cart that is at rest behind it. Which force, or combination of forces, explains how the horse-cart system can accelerate from rest?","The forward static friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration.","The forward force of the horse on the cart is greater than the backward force of the cart on the horse, providing a forward acceleration.",The force of the horse’s muscles on the rest of the horse-cart system provides the necessary acceleration.,"The upward normal force of the ground on the horse is greater than the horse’s weight, providing an upward acceleration.",A,False,0.4089272916316986,0.4633753299713135,0.05534229427576065,0.04048928618431091
"In a certain region, the electric field varies with the radius away from origin by the equation Er = –6r^2 + 4r + 3, where r is given in meters and E in N/C. The potential difference between the origin and the point (3, 4) is",–165 V,–120 V,64 V,185 V,D,True,0.12071627378463745,0.2555563449859619,0.22552768886089325,0.37183231115341187
"A gas undergoes an expansion-compression cycle. If, plotted on a P-V diagram, the cycle is counterclockwise and the work is 300 J in magnitude, what was the heat transfer during this cycle?",300 J into the system,300 J out of the system,600 J into the system,600 J out of the system,B,True,0.2937670648097992,0.3328816890716553,0.15724217891693115,0.20190295577049255
"An ideal battery of constant voltage V supplies current to a circuit that has total resistance R. If R is doubled, what will happen to the total power dissipated by the circuit?",It will double.,It will quadruple.,It will be halved.,It will remain the same.,C,False,0.20500871539115906,0.33800220489501953,0.14090028405189514,0.29828590154647827
Ultraviolet light has a wavelength of about 6 × 10^-8 m. What is the frequency of this light?,5 × 10^15 Hz,0.5 Hz,2 Hz,20 Hz,A,False,0.1818259358406067,0.2997802793979645,0.16046082973480225,0.3396955728530884
Each of the following ionized isotopes is projected with the same speed into a uniform magnetic field B such that the isotope's initial velocity is perpendicular to B. Which combination of mass and charge would result in a circular path with the largest radius?,"m = 16 u, q = –5 e","m = 17 u, q = –4 e","m = 18 u, q = –3 e","m = 20 u, q = –1 e",D,True,0.14434978365898132,0.18534880876541138,0.14434978365898132,0.5038302540779114
An electric dipole consists of a pair of equal but opposite point charges of magnitude 4.0 nC separated by a distance of 2.0 cm. What is the electric field strength at the point midway between the charges?,0,9.0 × 10^4 N/C,1.8 × 10^5 N/C,7.2 × 10^5 N/C,D,True,0.04229527339339256,0.2147931307554245,0.2147931307554245,0.5152619481086731
"A person can stand outside on a cold day for hours without ill effect, but falling into a cold lake can kill a person in a matter of minutes. Which of the following is the primary reason for this phenomenon?","The molecules of the person are, on average, moving faster than those of the surroundings.",Thermal energy moves from high concentration areas (hot) to low concentration areas (cold).,"As heat flows out of the person and warms the fluid surrounding the person, the warmer fluid rises, allowing fresh cool fluid to come in contact with the person and increasing the rate of heat transfer.","Water has more molecules per volume than air, increasing molecular contact with the person.",D,False,0.3214104473590851,0.2209019660949707,0.1949453055858612,0.2209019660949707
"A liquid flows at a constant flow rate through a pipe with circular cross-sections of varying diameters. At one point in the pipe, the diameter is 2 cm and the flow speed is 18 m/s. What is the flow speed at another point in this pipe, where the diameter is 3 cm?",4 m/s,6 m/s,8 m/s,12 m/s,C,False,0.10697251558303833,0.25661373138427734,0.19985097646713257,0.4230844974517822
"An ideal fluid flows through a pipe with radius Q and flow speed V. If the pipe splits up into three separate paths, each with radius (Q/2), what is the flow speed through each of the paths?",1/3 V,2/3 V,4/3 V,4V,C,False,0.04461473226547241,0.290924608707428,0.10702517628669739,0.5435187220573425
A very slow-moving positron interacts with a stationary electron. Which of the following statements correctly describes a possible outcome of this reaction and why it would occur?,"Conservation of mass indicates that if a single new particle were created in the reaction, it must have a total mass equal to the combined masses of the electron and positron.",Conservation of charge indicates that all new particles created in the reaction would have no electric charge.,Conservation of momentum indicates that two identical gamma rays moving off in opposite directions could be created.,"Conservation of energy indicates that the antimatter positron could annihilate into energy, leaving the stationary electron behind.",C,False,0.12451254576444626,0.1811646968126297,0.11696870625019073,0.38352563977241516
"A box sits on an inclined plane without sliding. As the angle of the plane (measured from the horizontal) increases, the normal force",increases linearly,decreases linearly,does not change,decreases nonlinearly,D,True,0.10711678862571716,0.25695982575416565,0.20012052357196808,0.42365512251853943
A small cart of mass m is initially at rest. It collides elastically with a large cart of mass 4m and velocity v. The large cart loses half its kinetic energy to the little cart. The little cart now has a velocity of,1.41v,v,2v,4v,A,False,0.08413965255022049,0.2936762869358063,0.17812366783618927,0.4272964596748352
"A circuit consists of a battery and a light bulb. At first, the circuit is disconnected. Then, the circuit is connected, and the light bulb lights. After the light bulb has been lit for a few moments, how has the net charge residing on the circuit elements changed?",The net charge has become more positive.,The net charge has become more negative.,The net charge has not changed.,Whether the net charge becomes more positive or more negative depends on the initial net charge residing on the circuit elements before the bulb was lit.,C,False,0.2784394323825836,0.45906898379325867,0.07977422326803207,0.16888205707073212
"If the force of gravity between the Moon and the Earth were to stop, which statement best describes the resulting motion of the moon?","It would continue rotating on its axis, and it would revolve around the Earth as usual.","It would continue rotating on its axis, but it would stop revolving around the Earth.","It would stop rotating on its axis, but it would revolve around the Earth as usual.","It would stop rotating on its axis, and it would stop revolving around the Earth.",B,False,0.17597146332263947,0.29012787342071533,0.12094329297542572,0.37253159284591675
A person stands on a scale in an elevator. He notices that the scale reading is less than his usual weight. Which of the following could possibly describe the motion of the elevator?,It is moving downward and slowing down.,It is moving upward and slowing down.,It is moving upward at a constant speed.,It is moving downward at a constant speed.,B,False,0.44063282012939453,0.20814020931720734,0.18368308246135712,0.14305253326892853
"A whiffle ball is tossed straight up, reaches a highest point, and falls back down. Air resistance is not negligible. Which of the following statements are true?
I. The ball’s speed is zero at the highest point.
II. The ball’s acceleration is zero at the highest point.
III. The ball takes a longer time to travel up to the highest point than to fall back down.",I only,II only,I & II only,I & III only,C,False,0.05511893332004547,0.16977828741073608,0.09087575227022171,0.4615051746368408
"If L, M, and T denote the dimensions of length, mass, and time, respectively, what are the dimensions of impulse?",LM/T^3,LM/T^2,LM/T,L^2M/T^2,C,False,0.07121508568525314,0.28166112303733826,0.17083612084388733,0.46438068151474
"Traveling at an initial speed of 1.5 × 10^6 m/s, a proton enters a region of constant magnetic field of magnitude 1.5 T. If the proton's initial velocity vector makes an angle of 30° with the magnetic field, compute the proton's speed 4 s after entering the magnetic field.",5.0 × 10^6 m/s,7.5 × 10^6 m/s,1.5 × 10^6 m/s,3.0 × 10^6 m/s,C,False,0.09330174326896667,0.4738253653049469,0.1743106245994568,0.253620445728302
"A man stands on a platform scale in an elevator. The elevator moves upward, speeding up. What is the action-reaction force pair to the man’s weight?",The force of the elevator cable on the man,The force of the man on the scale,The force of the elevator cable on the elevator,The force of the man on the Earth,D,False,0.5212438106536865,0.27900171279907227,0.13179107010364532,0.0484832264482975
"During an isothermal expansion, a confined ideal gas does 150 J of work against its surroundings. Which of the following describes the heat transfer during this process?",150 J of heat was added to the gas.,150 J of heat was removed from the gas.,300 J of heat was added to the gas.,300 J of heat was removed from the gas.,A,False,0.305243581533432,0.3458862900733948,0.1441868543624878,0.18513959646224976
An object carries a charge of –1 C. How many excess electrons does it contain?,6.25 × 10^18,8.00 × 10^18,1.60 × 10^19,3.20 × 10^19,A,False,0.11964470148086548,0.223525732755661,0.15362682938575745,0.47320398688316345
A guitar string creates a sound wave of known frequency. Which of the following describes a correct and practical method of measuring the wavelength of the sound wave with a meterstick?,Lightly touch the guitar string in the middle such that a single node is created. Measure the length of the string; this is the wavelength.,Measure the length of the guitar string; this is half the wavelength.,Adjust the length of a pipe placed near the string so that resonances are heard. Measure the difference between the pipe lengths for consecutive resonances; this is half the wavelength.,Measure the peak-to-peak distance of the wave as it passes; this is the wavelength.,C,False,0.28470781445503235,0.46940383315086365,0.10473815351724625,0.11868387460708618
Which of the following statements about images is true?,Images produced by concave lenses are always real.,Images produced by concave mirros are always real.,Images produced by convex lenses can be both real and virtual.,Images produced by convex mirrors can be both real and virtual.,C,False,0.233046293258667,0.2640760540962219,0.233046293258667,0.20566263794898987
"Pretend someone actually managed to dig a hole straight through the center of the Earth all the way to the other side. If an object were dropped down that hole, which of the following would best describe its motion? Assume ideal conditions and that the object cannot be destroyed.",It would fall to the center of the Earth and stop there.,"It would fall through the hole to the other side, continue past the opposite side’s opening, and fly into space.",It would oscillate back and forth from one opening to the other indefinitely.,It would fall to the other side and stop there.,C,False,0.24309301376342773,0.4541575014591217,0.14744335412979126,0.14744335412979126
"A horizontal spring-block oscillator is in motion when a second block of equal mass falls on top of the oscillating block. If the two blocks stick together, what effect will this have on the amplitude of the oscillations?",It will increase the amplitude.,It will decrease the amplitude.,It will have no effect.,It would depend on where the original block was in its cycle when the second block fell.,D,False,0.17980706691741943,0.6275883316993713,0.058374807238578796,0.1235794648528099
In which of the following situations involving a source of sound and a detector of the sound is it possible that there is NO perceived Doppler shift?,The source travels toward the stationary detector.,The detector travels toward the stationary source.,Both the source and detector travel in the same direction.,"Both the source and detector travel in opposite directions, with the source and detector moving away from each other.",C,False,0.26930955052375793,0.30516770482063293,0.18509356677532196,0.1195053905248642
A solid plastic cube with uniform density (side length = 0.5 m) of mass 100 kg is placed in a vat of fluid whose density is 1200 kg/m^3. What fraction of the cube's volume floats above the surface of the fluid?,1.0/9,1.0/3,2.0/3,4.0/5,B,False,0.069943867623806,0.3134666681289673,0.14807115495204926,0.4560912847518921
A person standing on a horizontal floor is acted upon by two forces: the downward pull of gravity and the upward normal force of the floor. These two forces,have equal magnitudes and form an action-reaction pair,have equal magnitudes and do not form an action-reaction pair,have unequal magnitudes and form an action-reaction pair,have unequal magnitudes and do not form an action-reaction pair,B,True,0.2620886266231537,0.38133668899536133,0.11630111187696457,0.20411483943462372
A particle of mass m and charge Q and velocity V is directed toward a uniform electric field of strength E and travels a distance d. How far does the particle travel if the original velocity is doubled and the mass is cut in half?,4d,2d,d,1/2d,B,True,0.10212916135787964,0.5877127647399902,0.21620747447013855,0.07953827828168869
"An object of mass m1 experiences a linear, elastic collision with a stationary object of unknown mass. In addition to m1, what is the minimum necessary information that would allow you to determine the mass of the second object?",The final speed of object 1,The initial speed of object 1,The final speed of object 2,Any 2 of the above values,D,False,0.29345211386680603,0.37679997086524963,0.1779877096414566,0.12232903391122818
"In an experiment designed to study the photoelectric effect, it is observed that low-intensity visible light of wavelength 550 nm produced no photoelectrons. Which of the following best describes what would occur if the intensity of this light were increased dramatically?","Almost immediately, photoelectrons would be produced with a kinetic energy equal to the energy of the incident photons.","Almost immediately, photoelectrons would be produced with a kinetic energy equal to the energy of the incident photons minus the work function of the metal.","After several seconds, necessary for the electrons to absorb sufficient energy from the incident light, photoelectrons would be produced with a kinetic energy equal to the energy of the incident photons minus the work function of the metal.",Nothing would happen.,D,True,0.23426565527915955,0.26545777916908264,0.18244628608226776,0.3008030652999878
"Two traveling waves of equal frequency, one of amplitude 4 cm and the other of amplitude 6 cm, superimpose in a single medium. Which of the following best describes the displacement, D, of the resultant wave?",2 cm ≤ D ≤ 10 cm,D = 5 cm,D = 10 cm,10 cm ≤ D ≤ 12 cm,A,False,0.1387409120798111,0.5487309694290161,0.20186686515808105,0.08415062725543976
"In Collision A, two carts collide and bounce off each other. In Collision B, a ball sticks to a rigid rod, which begins to rotate about the combined center of mass. Which of the following statements about quantities in each collision is correct?","Collision A: each cart experiences the same force, time of collision, and change in kinetic energy. Collision B: the ball and the rod each experience the same torque, time of collision, and change in rotational kinetic energy.","Collision A: each cart experiences the same force, time of collision, and change in linear momentum. Collision B: the ball and the rod each experience the same torque, time of collision, and change in angular momentum.","Collision A: each cart experiences the same force, time of collision, and change in kinetic energy. Collision B: the ball and the rod each experience the same torque, time of collision, and change in angular momentum.","Collision A: each cart experiences the same force, time of collision, and change in velocity. Collision B: the ball and the rod each experience the same torque, time of collision, and change in angular velocity",B,False,0.10581576079130173,0.28763705492019653,0.19768987596035004,0.36933329701423645
"An object of mass 2 kg is acted upon by three external forces, each of magnitude 4 N. Which of the following could NOT be the resulting acceleration of the object?",0 m/s^2,2 m/s^2,4 m/s^2,8 m/s^2,D,True,0.15035264194011688,0.21876180171966553,0.24788960814476013,0.36067724227905273
Spring scales are used to measure the net force applied to an object; a sonic motion detector is used to measure the object’s resulting acceleration. A graph is constructed with the net force on the vertical axis and the acceleration on the horizontal axis. Which of the following quantities is directly measured using the slope of this graph?,Gravitational mass,Weight,Velocity,Inertial mass,D,False,0.29205164313316345,0.3750017285346985,0.137955442070961,0.1771382838487625
"A wooden block experiences a frictional force, f, as it slides across a table. If a block of the same material with half the height and twice the length were to slide across the table, what would be the frictional force it experienced?",(1/2)f,f,2f,4f,B,True,0.07486391067504883,0.38019034266471863,0.15848691761493683,0.38019034266471863
An object is placed 10 cm in front of a diverging mirror. What is the focal length of the mirror if the image appears 2 cm behind the mirror?,-3/5 cm,-5/3 cm,-2/5 cm,-5/2 cm,D,True,0.11618687212467194,0.3158286511898041,0.149186909198761,0.40553200244903564
"A body moving in the positive x direction passes the origin at time t = 0. Between t = 0 and t = 1 second, the body has a constant speed of 24 meters per second. At t = 1 second, the body is given a constant acceleration of 6 meters per second squared in the negative x direction. The position x of the body at t = 11 seconds is",99m,36m,-36m,-99m,C,False,0.10412263870239258,0.22042763233184814,0.19452668726444244,0.4666453003883362
"A fluid of density ρ flows through a horizontal pipe with negligible viscosity. The flow is streamlined with constant flow rate. The diameter of the pipe at Point 1 is d and the flow speed is V. If the diameter of the pipe at Point 2 is d/3, then the pressure at Point 2 is",less than the pressure at Point 1 by 4 ρv^2,less than the pressure at Point 1 by 40 ρv^2,more than the pressure at Point 1 by 4 ρv^2,more than the pressure at Point 1 by 40 ρv^2,B,True,0.17529237270355225,0.42050454020500183,0.13651783764362335,0.2550489008426666
"In a spring-block oscillator, the maximum speed of the block is",proportional to amplitude,proportional to the square of amplitude,proportional to the square root of amplitude,inversely proportional to the square root of amplitude,A,False,0.13123193383216858,0.31480905413627625,0.31480905413627625,0.21636489033699036
The weight of a box on the Earth is 80 N. What is the weight of the box on the moon if the moon has 1/80th the mass and 1/4th the radius of the Earth?,1 N,10 N,16 N,20 N,C,False,0.056751690804958344,0.2244572937488556,0.17480751872062683,0.5384450554847717
"A textbook weighs 30 N at sea level. Earth’s radius is 6,400 km. Which of the following is the best estimate of the textbook’s weight on a mountain peak located 6,000 m above sea level?",60 N,15 N,30 N,7.5 N,C,False,0.20558792352676392,0.38408878445625305,0.14129838347434998,0.26398012042045593
Which of the following correctly describes the motion of a real object in free fall? Assume that the object experiences drag force proportional to speed and that it strikes the ground before reaching terminal sped.,It will fall with increasing speed and increasing acceleration.,It will fall with increasing speed and decreasing acceleration.,It will fall with decreasing speed and increasing acceleration.,It will fall with decreasing speed and decreasing acceleration.,B,True,0.17800113558769226,0.3768284022808075,0.20170171558856964,0.2285579890012741
A bi-convex lens has a radius of curvature of magnitude 20 cm. Which of the following best describes the image formed of an object of height 2 cm placed 30 cm from the lens?,"Real, inverted, height = 1 cm","Virtual, upright, height = 0.25 cm","Real, upright, height = 1 cm","Virtual, inverted, height = 0.25 cm",A,False,0.12122640758752823,0.3734036386013031,0.22648075222969055,0.2566363215446472
"Two spheres of net charge +5e and -6e briefly come into contact. Afterward, which of the following is a possible combination of net charges for the two spheres?",+3e and -4e,+1.5e and -2.5e,Both of the above,None of the above,A,True,0.33530953526496887,0.33530953526496887,0.15838901698589325,0.15838901698589325
"The circumference of a helium-filled balloon is measured for three different conditions: at room temperature, after being in a warm oven for 30 minutes, and after being in a freezer for 30 minutes. A student plotting the circumference cubed C^3 as a function of temperature T, should expect to find which of the following?",a cubic relationship between C^3 and T,an indirect relationship between C^3 and T,an extrapolated temperature T where C^3 reaches zero,a maximum C^3 as the temperature T increases,C,False,0.4396873712539673,0.3880227506160736,0.05950521305203438,0.09810751676559448
The charge on an oil drop is measured in the laboratory. Which of the following measurements should be rejected as highly unlikely to be correct?,6.4 × 10^-19 C,8.0 × 10^-19 C,4.8 × 10^-19 C,2.4 × 10^-19 C,D,True,0.15617573261260986,0.22723433375358582,0.17697025835514069,0.4245295822620392
"Traveling at an initial speed of 1.5 × 10^6 m/s, a proton enters a region of constant magnetic field, B, of magnitude 1.0 T. If the proton's initial velocity vector makes an angle of 30° with the direction of B, compute the proton's speed 4 s after entering the magnetic field.",5.0 × 10^5 m/s,7.5 × 10^5 m/s,1.5 × 10^6 m/s,3.0 × 10^6 m/s,C,False,0.09314746409654617,0.4174579381942749,0.1971931755542755,0.2869143784046173
Which of the following changes to a circuit will always bring about an increase in the current?,Increased voltage and increased resistance,Decreased voltage and decreased resistance,Increased voltage and decreased resistance,Decreased voltage and increased resistance,A,False,0.20382215082645416,0.3807899057865143,0.15873683989048004,0.17987242341041565
Which of the following concerning uniform circular motion is true?,The centrifugal force is the action-reaction pair of the centripetal force.,The centripetal acceleration and velocity point in the same direction.,The velocity of the object in motion changes whereas the acceleration of the object is constant.,A satellite undergoing uniform circular motion is falling toward the center in a circular path.,D,False,0.5504858493804932,0.29465383291244507,0.051203157752752304,0.05802077800035477
"It is known that a lab cart is moving east at 25 cm/s at time t1 = 0.10 s, and then moving east at 15 cm/s at t2 = 0.20 s. Is this enough information to determine the direction of the net force acting on the cart between t1 and t2?","Yes, since we know the cart is slowing down, its momentum change is opposite the direction of movement, and the net force is in the direction of momentum change.","No, because we don’t know whether forces such as friction or air resistance might be acting on the cart.","No, because we don’t know the mass of the cart.","Yes, since we know the cart keeps moving to the east, the net force must be in the direction of motion.",A,False,0.21967479586601257,0.465051531791687,0.019194969907402992,0.28206801414489746
"An elevator is rising. In order to determine the tension in the cables pulling it, which values (for the elevator) would you need to know?","Mass, velocity, height, and acceleration","Mass, velocity, and acceleration",Mass and velocity,Mass and acceleration,D,False,0.5712082386016846,0.23811502754688263,0.04991161823272705,0.09926110506057739
"If two non-zero vectors are added together, and the resultant vector is zero, what must be true of the two vectors?",They have equal magnitude and are pointed in the same direction.,They have equal magnitude and are pointed in opposite directions.,They have different magnitudes and are pointed in opposite directions.,It is not possible for the sum of two non-zero vectors to be zero.,B,False,0.22517602145671844,0.22517602145671844,0.1987171322107315,0.3276291787624359
"A proton enters a solenoid. Upon entry, the proton is moving in a straight line along the axis of the solenoid. Which of the following is a correct description of the proton’s motion within the solenoid?",The proton will be bent in a parabolic path.,The proton will be bent in a circular path.,The proton will continue in its straight path at constant velocity.,The proton will continue in its straight path and slow down.,C,False,0.2523535490036011,0.2859540283679962,0.22270122170448303,0.22270122170448303
A sound wave with frequency f travels through air at speed v. With what speed will a sound wave with frequency 4f travel through the air?,v/4,v,2v,4v,B,False,0.07669895142316818,0.14329251646995544,0.26770564913749695,0.5001400113105774
Under what conditions is the net electric flux through a closed surface proportional to the enclosed charge?,under any conditions,only when the enclosed charge is symmetrically distributed,only when all nearby charges are symmetrically distributed,only when there are no charges outside the surface,A,False,0.1279643326997757,0.1450026035308838,0.39415791630744934,0.306970477104187
A beam of monochromatic light entering a glass window pane from the air will experience a change in,frequency and wavelength,speed and wavelength,speed only,wavelength only,B,False,0.42059794068336487,0.2251298576593399,0.17533130943775177,0.11320240050554276
"Data is collected in an experiment preformed on an ideal gas. In the experiment, temperature (in K) is the independent variable and volume (in m^3) is the dependent variable. If a plot is produced where the dependent variable is on the vertical axis, which of the following is true about the slope and y-intercept of the graph?",The slope will be linearly proportional to the pressure of the gas and the intercept will be 0 m^3.,The slope will be inversely proportional to the pressure of the gas and the intercept will be 0 m^3.,The slope will be linearly proportional to the pressure of the gas and the intercept will not be 0 m^3.,The slope will be inversely proportional to the pressure of the gas and the intercept will not be 0 m^3.,B,False,0.32331469655036926,0.32331469655036926,0.13477762043476105,0.1730578988790512
"A toy car and a toy truck collide. If the toy truck’s mass is double the toy car’s mass, then, compared to the acceleration of the truck, the acceleration of the car during the collision will be",double the magnitude and in the same direction,double the magnitude and in the opposite direction,half the magnitude and in the same direction,half the magnitude and in the opposite direction,B,True,0.15128493309020996,0.4659903943538666,0.15128493309020996,0.22011828422546387
"A sphere, a cube, and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?",the sphere,the cube,the cylinder,All reach the base at the same time.,D,False,0.5121777057647705,0.27414897084236145,0.0507124587893486,0.1467413753271103
A car starts from rest and uniformly accelerates to a final speed of 20.0 m/s in a time of 15.0 s. How far does the car travel during this time?,150 m ,300 m,450 m,600 m,A,False,0.13265642523765564,0.31822624802589417,0.31822624802589417,0.21871349215507507
At what angle to the horizontal should an ideal projectile be launched so that its horizontal displacement (the range) is equal to its maximum vertical displacement?,sin–1 (1/g),cos–1 (1/g),45°,tan–1 4,D,True,0.0950133427977562,0.1889565885066986,0.11460795998573303,0.5820273160934448
A cannon is mounted on a truck that moves forward at a speed of 5 m/s. The operator wants to launch a ball from a cannon so the ball goes as far as possible before hitting the level surface. The muzzle velocity of the cannon is 50 m/s. At what angle from the horizontal should the operator point the cannon?,5°,41°,45°,49°,D,False,0.07322370260953903,0.37186068296432495,0.25557586550712585,0.28960537910461426
