0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Let x = 1. What is x << 3 in Python 3?,1,3,8,16,C,False,2.1405653569672722e-06,2.1405653569672722e-06,2.1405653569672722e-06,1.14576221221796e-06
"In Python 3, which of the following function convert a string to an int in python?","int(x [,base])","long(x [,base] )",float(x),str(x),A,True,2.100080109812552e-06,1.6355442085114191e-06,1.6355442085114191e-06,1.124091909332492e-06
"A user enters a Web address in a browser, and a request for a file is sent to a Web server. Which of the following best describes how the file is sent to the user?",The file is broken into packets for transmission. The packets must be reassembled upon receipt.,The file is broken into packets for transmission. The user's browser must request each packet in order until all packets are received.,"The server attempts to connect directly to the user's computer. If the connection is successful, the entire file is sent. If the connection is unsuccessful, an error message is sent to the user.","The server repeatedly attempts to connect directly to the user's computer until a connection is made. Once the connection is made, the entire file is sent.",A,True,2.427132812954369e-06,1.6681422039255267e-06,1.8902527472164365e-06,1.1464962881291285e-06
"Digital images are often represented by the red, green, and blue values (an RGB triplet) of each individual pixel in the image. A photographer is manipulating a digital image and overwriting the original image. Which of the following describes a lossless transformation of the digital image?",Compressing the image in a way that may lose information but will suffer only a small loss of image quality.,"Creating the gray scale of an image by averaging the amounts of red, green, and blue in each pixel and assigning this new value to the corresponding pixel in the new image. The new value of each pixel represents a shade of gray, ranging from white to black.","Creating the negative of an image by creating a new RGB triplet for each pixel in which each value is calculated by subtracting the original value from 255. The negative of an image is reversed from the original; light areas appear dark, and colors are reversed.",Modifying part of the image by taking the pixels in one part of the picture and copying them to the pixels in another part of the picture.,C,False,1.8064324649458285e-06,1.5941710671540932e-06,1.4068509699427523e-06,9.66913603406283e-07
A programmer is writing a program that is intended to be able to process large amounts of data. Which of the following considerations is LEAST likely to affect the ability of the program to process larger data sets?,How long the program takes to run,How many programming statements the program contains,How much memory the program requires as it runs,How much storage space the program requires as it runs,B,False,1.1705851648002863e-06,9.116526484831411e-07,9.116526484831411e-07,5.529452664632117e-07
"Suppose the characters 0,1, . . . ,8,9,A,B,C,D, E,F are used to represent a hexadecimal (base-16) number. Here A = 10, B = 11, . . . ,F = 15. What is the largest base-10 integer that can be represented with a two-digit hexadecimal number, such as 14 or 3A?",32,225,255,256,C,False,1.8911556480816216e-06,1.4728334463143256e-06,1.4728334463143256e-06,7.883509738348948e-07
"A large data set contains information about all students majoring in computer science in colleges across the United States. The data set contains the following information about each student.
   ° The student's gender
   ° The state in which the student attends college
   ° The student's grade point average on a 4.0 scale

 Which of the following questions could be answered by analyzing only information in the data set?",Do students majoring in computer science tend to have higher grade point averages than students majoring in other subjects?,How many states have a higher percentage of female computer science majors than male computer science majors attending college in that state?,What percent of students attending college in a certain state are majoring in computer science?,Which college has the highest number of students majoring in computer science?,B,False,1.6351854128515697e-06,1.2734836900563096e-06,1.1238453225814737e-06,6.816466679993027e-07
"The code segment below uses the procedure IsFound (list, item), which returns true if item appears in list and returns false otherwise. The list resultList is initially empty.
  FOR EACH item IN inputList1{
 IF (isFound (inputList2, item) )
 APPEND (resultList, item)
 }
 Which of the following best describes the contents of resultList after the code segment is executed?",All elements in inputListl followed by all elements in inputList2,Only elements that appear in both inputListl and inputList2,Only elements that appear in either inputListl or inputList2 but not in both lists,Only elements that appear in inputListl but not in inputList2,B,False,2.1004000245739007e-06,1.6357932963728672e-06,1.8535965864430182e-06,9.921587889039074e-07
A program is expressed in a programming language. Which of the following is true of the program?,"The program can also be expressed as binary code, but will be more easily understood by humans when expressed in a higher-level programming language.","The program can also be expressed as binary code, which will reduce the likelihood of errors.","The program cannot be expressed as binary code, because binary code can only be used to represent data.","Some parts of the program can be expressed as binary code, but operations must be expressed using a higher-level programming language.",A,True,1.6691648170308326e-06,1.2999469163332833e-06,1.2999469163332833e-06,7.884576120886777e-07
"In Python 3, what is the output of print tuple[0] if tuple = ( 'abcd', 786 , 2.23, 'john', 70.2 )?","( 'abcd', 786 , 2.23, 'john', 70.2 )",abcd,Error,None of the above.,B,False,1.928478695845115e-06,1.5019007832961506e-06,1.3254228861114825e-06,9.109488701142254e-07
"Of the following potential benefits, which is LEAST likely to be provided by the upgraded system?",Human representatives will not be needed to respond to some inquiries.,The company will be able to provide a human representative for any incoming call.,Customers are likely to spend less time listening to information not relevant to their issue.,Customers will be unable to mistakenly select the incorrect department for their particular issue.,B,False,1.1706372333719628e-06,9.116931778407888e-07,9.116931778407888e-07,6.265969432206475e-07
"Historically, it has been observed that computer processing speeds tend to double every two years. Which of the following best describes how technology companies can use this observation for planning purposes?",Technology companies can accurately predict the dates when new computing innovations will be available to use.,Technology companies can plan to double the costs of new products each time advances in processing speed occur.,Technology companies can set research and development goals based on anticipated processing speeds.,Technology companies can spend less effort developing new processors because processing speed will always improve at the observed rate.,C,False,1.2994584039915935e-06,1.0120191973328474e-06,1.0120191973328474e-06,6.955499429750489e-07
"A programmer wrote the program below. The program uses a list of numbers called numList. The program is intended to display the sum of the numbers in the list.
 sum ← numList [1]
 FOR EACH value IN numList
 sum ← sum + value
 DISPLAY sum
 In order to test the program, the programmer initializes numList to [0 , 1 , 4 , 5]. The program displays 10, and the programmer concludes that the program works as intended. Which of the following is true?",The conclusion is correct; the program works as intended.,"The conclusion is incorrect; the program does not display the correct value for the test case [0, 1, 4, 5].","The conclusion is incorrect; using the test case [0, 1, 4, 5] is not sufficient to conclude the program is correct.","The conclusion is incorrect; using the test case [0, 1, 4, 5] only confirms that the program works for lists in increasing order.",C,False,2.1862708763364935e-06,2.1862708763364935e-06,2.1862708763364935e-06,1.1702264828272746e-06
A computer simulation is created to simulate the growth of a certain plant species in different conditions. Which of the following actions could be used to validate the model used in the simulation?,Express the simulation software using both recursive and iterative algorithms. Compare the results of the recursive algorithm to those of the iterative algorithm.,Perform real-world experiments on the plant species' growth in different environments. Compare the experimental results to the results provided by the simulation.,Remove any unnecessary details from the model. Compare the running times of the original simulation and the simplified simulation.,Run the simulation software on multiple devices. Compare the results obtained from each of the devices.,B,False,1.7030381513905013e-06,1.5029258975118864e-06,1.3263274922792334e-06,8.044582386901311e-07
"Huffman coding assigns unique variable-length codes to input values based on the frequency of occurrence of each value. Frequently occurring values are assigned codes that contain fewer bits than values that occur less frequently, which are assigned codes that contain more bits. Which of the following best describes an appropriate use of Huffman coding?",Decryption,Efficient sorting,Lossless compression,Lossy compression,C,False,1.325849893873965e-06,1.0325728680982138e-06,1.170058453681122e-06,7.096762715264049e-07
"In Python 3, which of the following function checks in a string that all characters are in uppercase?",isupper(),join(seq),len(string),"ljust(width[, fillchar])",A,True,1.9967324078606907e-06,1.5550568832622957e-06,1.5550568832622957e-06,1.0687738267733948e-06
"The code fragment below is intended to display ""odd"" if the positive number num is odd.
 IF (<MISSING CONDITION>)
 DISPLAY “odd”

 Which of the following can be used to replace <MISSING CONDITION> so that the code fragment will work as intended?",(num MOD 1) = 0,(num MOD 1) = 1,(num MOD 2 ) = 0,(num MOD 2) = 1,D,False,5.04214949614834e-06,3.4654151477298e-06,3.926829776901286e-06,2.381742888246663e-06
