0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?",0.005 C,0.01 C,0.02 C,0.5 C,B,False,0.09317749738693237,0.11964228004217148,0.3685241639614105,0.4175925850868225
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,the electric field produced by a finite-length charged rod,the electric field produced by an infinitely long charged cylinder,the electric field produced by an infinite plane of charge,"the magnetic field produced by an infinitely long, straight current-carrying wire",A,False,0.18572019040584564,0.1446390151977539,0.5048397779464722,0.16389746963977814
"A solid, metal object is isolated from other charges and has charge distributed on its surface. The charge distribution is not uniform. It may be correctly concluded that the",electric field outside the object is zero,the electric field outside the object is equal to the electric field inside the object,the electric field outside the object is directly proportional to the distance away from the center of mass of the object,"the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space",D,False,0.25731003284454346,0.1768464297056198,0.4807184040546417,0.08353632688522339
Standing waves are produced by a 100-Hz generator in a string of fixed length. The tension in the string is increased until a new set of standing waves is produced. Will the wavelength of the new standing waves be greater than or less than the wavelength of the original standing waves?,"Less, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.","Greater, because the tension in the string varies directly with the wave speed, which varies inversely with the wavelength.","Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.","Less, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength.",C,False,0.176903635263443,0.3745049834251404,0.3745049834251404,0.07374439388513565
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,I only,II only,II and III only,"(E) I, II, and III",D,False,0.0358969122171402,0.06706425547599792,0.4955415725708008,0.3859281539916992
A 1-kg object is released from rest at the top of a rough-surfaced incline. The object slides without rotating to the bottom of the incline. The object’s kinetic energy at the bottom must be,"Equal to the block’s gravitational potential energy when it was released, because total mechanical energy must be conserved.","Equal to the block’s gravitational potential energy when it was released, because the gain in kinetic energy compensates for the mechanical energy lost to thermal energy on the rough incline.","Less than the block’s gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy.","Less than the block’s gravitational potential energy when it was released, because the work done by the friction force must be greater than the block’s gain in kinetic energy.",C,False,0.29154226183891296,0.4806719422340393,0.17682935297489166,0.05066245049238205
"A student is experimenting with a simple spring-block oscillator of spring constant k and amplitude A. The block attached to the spring has a mass of m. If the student places a small block of mass m on top of the original block, which of the following is true?","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g].","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).","The small block is most likely to slide off when the original block is at the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than (M+m)g/(kA).",A,False,0.2470131367444992,0.19237403571605682,0.40725579857826233,0.14982105791568756
How much work is required to charge a 10 µF capacitor to a potential difference of 100 V ?,0.005 J,0.01 J,0.05 J,0.1 J,C,True,0.17336618900299072,0.1350177377462387,0.3670162260532379,0.32389068603515625
"A box of mass m slides on a horizontal surface with initial speed v0. It feels no forces other than gravity and the force from the surface. If the coefficient of kinetic friction between the box and the surface is μ, how far does the box slide before coming to rest?",v0^2/(2μg),v0^2/(μg),2v0^2/(μg),mv0^2/(μg),A,False,0.17082886397838593,0.46436095237731934,0.1935744434595108,0.17082886397838593
"A soccer ball, at rest on the ground, is kicked with an initial velocity of 10 m/s at a launch angle of 30°. Calculate its total flight time, assuming that air resistance is negligible.",0.5 s,1 s,2 s,4 s,B,False,0.06375124305486679,0.19636765122413635,0.41571030020713806,0.32375550270080566
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.,The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.,The density of the hydrogen gas is less than the nitrogen gas.,The pressures of the gases cannot be compared without knowing the number of molecules in each container.,D,False,0.361306369304657,0.248321995139122,0.3188517391681671,0.0711454376578331
"A girl of mass m and a boy of mass 2m are sitting on opposite sides of a see-saw with its fulcrum in the center. Right now, the boy and girl are equally far from the fulcrum, and it tilts in favor of the boy. Which of the following would NOT be a possible method to balance the see-saw?",Move the boy to half his original distance from the fulcrum.,Move the girl to double her original distance from the fulcrum.,Allow a second girl of mass m to join the first.,Move the fulcrum to half its original distance from the boy.,D,False,0.09563584625720978,0.15767686069011688,0.48567894101142883,0.2599652111530304
"When hot water is poured into a beaker containing cold alcohol, the temperature of the mixture will eventually reach the same temperature. Considering the scale of the size of the molecules of the fluids, which of the following is the primary reason for this phenomenon?",The high temperature water will rise to the top of the container until it has cooled and then mixes with the alcohol.,"The molecules of the water continue to have a higher kinetic energy than the molecules of the alcohol, but the two liquids mix until the energy is spread evenly throughout the container.",The hot water produces thermal radiation that is absorbed by the cold alcohol until the kinetic energy of all the molecules is the same.,"The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same.",D,False,0.4697664976119995,0.2514478862285614,0.22190198302268982,0.0561056062579155
"A solid sphere (I = 0.06 kg·m^2) spins freely around an axis through its center at an angular speed of 20 rad/s. It is desired to bring the sphere to rest by applying a friction force of magnitude 2.0 N to the sphere’s outer surface, a distance of 0.30 m from the sphere’s center. How much time will it take the sphere to come to rest?",4 s,2 s,0.06 s,0.03 s,B,True,0.17029808461666107,0.3605210483074188,0.31815871596336365,0.15028752386569977
The radius of Mars is about half that of Earth; the mass of Mars is about one-tenth that of Earth. Which of the following is closest to the gravitational field at the surface of Mars?,10 N/kg,4 N/kg,2 N/kg,0.5 N/kg,B,True,0.2855494022369385,0.3235698640346527,0.2855494022369385,0.10504775494337082
"Above an infinitely large plane carrying charge density σ, the electric field points up and is equal to σ/2εo. What is the magnitude and direction of the electric field below the plane?","σ/2εo, down","σ/2εo, up","σ/εo, down","σ/εo, up",A,False,0.10090800374746323,0.1295684576034546,0.5806854963302612,0.18852098286151886
