id,task,input,expected_output,model_output,nll
36307590sc1,Task3,"Christopher J. Hardy

Christopher J. Hardy (born 1955) is an American physicist and inventor of several magnetic resonance imaging (MRI) subsystem technologies for use in real time MRI and cardiac MR imaging and spectroscopy.
Biography.
Hardy obtained his Ph.D. from the University of Illinois at Urbana-Champaign in March, 1983. He is currently a principal scientist and Coolidge Fellow at General Electric. He developed the first graphical approach that allowed physicians to explore anatomy in real time during cardiac MRI, as opposed to viewing groups of images at a later time, and he also developed a technique that improved imaging speed. Both accomplishments have gained widespread use. He has also","led the teams that developed 32 channel and 128 channel General Electric MRI systems.
Hardy has written 98 research papers and 54 patents."," led the teams that developed 32-channel and 16-channel General Electric MRI systems.
Hardy has been the member of the Board of Directors of the General Electric Company, and he has been the member of the Board of Directors of the Medical Device Corporation of America.
He has been the member of the Board of Directors of the Quantum Corporation, and he has been a member of the Board of Directors of the Ithaca, New York-based General Medical Corporation.
Hardy has been the member of the Board of Directors of the General Electric Company, and he has been a member of the Board of Directors of the Medical Device Corporation of America.
Hardy obtained his Ph.D. from the University of Illinois at Urbana-Champaign in March, 1983. He has been a member of the Board of Directors of the General Electric Company, and he has also been a member of the Board of Directors of the Medical Device Corporation of America.",5.034998416900635
36307590qa0,Task3,Who is the American physicist that developed the first graphical approach for real-time cardiac MRI exploration?,Hardy, Hardy,7.355357646942139
25380380sc1,Task3,"Heinrich Henkel

Leutnant Heinrich Henkel (born 11 May 1896, date of death unknown) was a World War I flying ace credited with eight aerial victories.
Biography.
Heinrich Henkel was born in Hamburg, the German Empire on 11 May 1896.
On 1 September 1914, Henkel volunteered for military service in Reserve Fusilier Artillery Regiment Nr. 3. He went into battle with them at Nancy, France, at Antwerp, and at Ypres. On 1 July 1915, he was transferred to the infantry. He was wounded in action on 25 September 1916. He was subsequently promoted to the officer's ranks as a Leutnant in December 1916. He volunteered for aviation duty and began training at ""Fliegerersatz-Abteilung"" (Replacement Detachment) 1 in February 1917.
Henkel would also undergo fighter pilot's training at Valenciennes, France before joining Jagdstaffel 37 in May 1918. He scored his first aerial victory on 9 July, and had scored seven more by 31 October 1918. Three of his","eight victories were shot-down observation balloons, making him a ""balloon buster"". Heinrich Henkel survived the war, having won the Iron Cross for his gallantry, but faded into obscurity."," eight victories were on the night fighting at Hurt-Mare in the Battle of the Severest conditions, and were confirmed by the United States Army. Heinrich Henkel survived the war, having won the Iron Cross and the Maus 3, but faded into obscurity.",0.7725970149040222
25380380qa0,Task3,In which city was Heinrich Henkel born?,Hamburg, Hamburg,6.0557475090026855
56856377sc1,Task3,"Lawrence Zimba

Lawrence Zimba (born 22 April 1955) is a Zambian politician. He served as Member of the National Assembly for Kapiri Mposhi from 2011 until 2013.
Biography.
Prior to entering politics, Zimba worked as an agricultural mechanic. He contested the Kapiri Mposhi seat as the Movement for Multi-Party Democracy candidate in the 2011 general elections and was elected with a majority of 7,000. However, defeated Patriotic Front candidate Eddie Musonda successfully challenged the result in the Supreme Court, resulting in a by-election on 23 April 2013. By then","Zimba had defected to the United Party for National Development (UPND) and was the UPND candidate in the by-election, losing by a margin of 1,144 votes to Musonda."," Zimba had resigned from the MMD and joined the National Alliance party. He then lost the 2013 by-election, and died in August at the age of 69.",0.44286832213401794
56856377qa0,Task3,Who did Lawrence Zimba represent in the by-election on 23 April 2013?,United Party for National Development (UPND), United Party for National Development (UPND),1.132504940032959
43486367sc1,Task3,"Sebastian Poon

Sebastian Poon Wan-fung (born 30 May 1978), also known as his stage name ""Tong Hing"", is the guitarist and songwriter of the Hong Kong-based band Sugar Club.
Biography.
Sebastian Poon worked as a computer cartographer and guitar teacher before signing WOW Music. In 2007, Sebastian decided to form the band Sugar Club with Kandy Wong, who was introduced by his friend. Later, Sugar Club gained the opportunity to perform at Langham Place The Mall every week, until December, 2010.
In 2008, Sugar Club's performance was admired by WOW Music and they were signed to the record label at the same year. On 30 December 2010, they released their debut album ""I Love Sugar Club Best"".
In 2011, Sebastian proposed to his girlfriend Jessie on the first big concert of Sugar Club,","and held their wedding ceremony in April, 2013.
In addition to the songs for Sugar Club, Sebastian also writes songs for other singers including Jason Chan, Dicky Cheung, etc."," and held their wedding ceremony in 4th December.
In addition to the songs for Sugar Club, Sebastian also writes songs for other voices and languages, and he has released more than 8 albums.",2.130155324935913
43486367qa0,Task3,"Who is the guitarist and songwriter of the Hong Kong-based band Sugar Club, also known as Tong Hing?",Sebastian Poon, Sebastian Pang,5.299229621887207
a66d8693-9bdb-4dab-a171-b448a74698fesc1,Task2,"Charil Pink was born on July 31, 1988. She can be reached via phone at 572-383-9594 and","email at [charil\_pink@me.com](mailto:charil_pink@me.com). Her home address is 12013 Blue Moon Avenue, Springfield, MA, 01106. Her social security number is 900-93-1017."," email at [darcie_pink@me.com](mailto:darcie_pink@me.com). Her home address is 4118 North 60th Avenue, Anchorage, AK, 99517. Her social security number is 900-40-5116.",0.7565881013870239
a66d8693-9bdb-4dab-a171-b448a74698feqa0,Task2,What is the birth date of Charil Pink?,1988-07-31, 1988-07-31,2.1658542156219482
a66d8693-9bdb-4dab-a171-b448a74698feqa1,Task2,What is Charil Pink's Social Security Number?,900931017, 900931017,3.498124361038208
a66d8693-9bdb-4dab-a171-b448a74698feqa2,Task2,What is Charil Pink's phone number?,5723839594, 5723839594,2.7541353702545166
a66d8693-9bdb-4dab-a171-b448a74698feqa3,Task2,What is Charil Pink's email address?,charil_pink@me.com, charil_pink@me.com,1.7345916032791138
a66d8693-9bdb-4dab-a171-b448a74698feqa4,Task2,What is the home address of Charil Pink?,"12013 Blue Moon Avenue, Springfield, MA, 01106."," 12013 the Meadows, Laurel, and Wayne County, Oklahoma City, OK, 73139.",1.8953073024749756
"""e16a72a8-e441-4471-9903-daaaefef4eef""sc1",Task1,"The Mystery of Noble Street In the city of Noble, a sense of unease had fallen over the community. A series of robberies had left the residents feeling uneasy, and the local police were at a loss as to how to stop them. Jennine, a determined private investigator, had been hired to find the culprit. She had been working on the case for weeks, but had turned up no leads. One day, Jennine received a call from Cristi, a local shop owner who had been the victim of a recent robbery. Cristi was desperate for help, and Jennine saw an opportunity to make progress on the case. Jennine met with Cristi at her shop, which was located on Noble Street. Cristi showed Jennine the scene of the crime, and Jennine immediately noticed something unusual. There was a small window that had been left open, even though it","was the middle of winter. Jennine also noticed that the lock on the door had been picked, indicating that the thief was skilled in lock-picking. Jennine thanked Cristi for her help and began to investigate further."," was the middle of winter. Jennine also noticed that the lock on the door had been picked, rather than broken. She asked Cristi if she had been watching the window, but Cristi said that she had been too busy to look.",0.46067726612091064
